"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","INCOMEINEQ","GINI","INEQ","A","2015",0.34,
"GRC","INCOMEINEQ","GINI","INEQ","A","2016",0.333,
"GRC","INCOMEINEQ","GINI","INEQ","A","2017",0.319,
"HUN","INCOMEINEQ","GINI","INEQ","A","2014",0.281,
"HUN","INCOMEINEQ","GINI","INEQ","A","2015",0.284,
"HUN","INCOMEINEQ","GINI","INEQ","A","2016",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2017",0.289,
"ISL","INCOMEINEQ","GINI","INEQ","A","2014",0.246,
"ISL","INCOMEINEQ","GINI","INEQ","A","2015",0.257,
"IRL","INCOMEINEQ","GINI","INEQ","A","2014",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2015",0.298,
"IRL","INCOMEINEQ","GINI","INEQ","A","2016",0.309,
"IRL","INCOMEINEQ","GINI","INEQ","A","2017",0.295,"P"
"ITA","INCOMEINEQ","GINI","INEQ","A","2014",0.326,
"ITA","INCOMEINEQ","GINI","INEQ","A","2015",0.333,
"ITA","INCOMEINEQ","GINI","INEQ","A","2016",0.327,
"ITA","INCOMEINEQ","GINI","INEQ","A","2017",0.334,
"JPN","INCOMEINEQ","GINI","INEQ","A","2015",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2015",0.352,
"KOR","INCOMEINEQ","GINI","INEQ","A","2016",0.355,
"KOR","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LUX","INCOMEINEQ","GINI","INEQ","A","2015",0.306,
"LUX","INCOMEINEQ","GINI","INEQ","A","2016",0.305,
"LUX","INCOMEINEQ","GINI","INEQ","A","2017",0.327,
"MEX","INCOMEINEQ","GINI","INEQ","A","2014",0.459,
"MEX","INCOMEINEQ","GINI","INEQ","A","2016",0.458,
"NLD","INCOMEINEQ","GINI","INEQ","A","2014",0.303,
"NLD","INCOMEINEQ","GINI","INEQ","A","2015",0.288,
"NLD","INCOMEINEQ","GINI","INEQ","A","2016",0.285,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"NOR","INCOMEINEQ","GINI","INEQ","A","2014",0.257,
"NOR","INCOMEINEQ","GINI","INEQ","A","2015",0.272,
"NOR","INCOMEINEQ","GINI","INEQ","A","2016",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2017",0.262,
"POL","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"POL","INCOMEINEQ","GINI","INEQ","A","2015",0.291,
"POL","INCOMEINEQ","GINI","INEQ","A","2016",0.285,
"POL","INCOMEINEQ","GINI","INEQ","A","2017",0.275,
"PRT","INCOMEINEQ","GINI","INEQ","A","2014",0.338,
"PRT","INCOMEINEQ","GINI","INEQ","A","2015",0.336,
"PRT","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"PRT","INCOMEINEQ","GINI","INEQ","A","2017",0.32,
"SVK","INCOMEINEQ","GINI","INEQ","A","2014",0.247,
"SVK","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"SVK","INCOMEINEQ","GINI","INEQ","A","2016",0.241,
"ESP","INCOMEINEQ","GINI","INEQ","A","2014",0.343,
"ESP","INCOMEINEQ","GINI","INEQ","A","2015",0.344,
"ESP","INCOMEINEQ","GINI","INEQ","A","2016",0.341,
"ESP","INCOMEINEQ","GINI","INEQ","A","2017",0.333,
"SWE","INCOMEINEQ","GINI","INEQ","A","2014",0.274,
"SWE","INCOMEINEQ","GINI","INEQ","A","2015",0.278,
"SWE","INCOMEINEQ","GINI","INEQ","A","2016",0.282,
"SWE","INCOMEINEQ","GINI","INEQ","A","2017",0.282,
"CHE","INCOMEINEQ","GINI","INEQ","A","2014",0.297,
"CHE","INCOMEINEQ","GINI","INEQ","A","2015",0.296,
"TUR","INCOMEINEQ","GINI","INEQ","A","2014",0.398,
"TUR","INCOMEINEQ","GINI","INEQ","A","2015",0.404,
"GBR","INCOMEINEQ","GINI","INEQ","A","2014",0.356,
"GBR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"GBR","INCOMEINEQ","GINI","INEQ","A","2016",0.351,
"GBR","INCOMEINEQ","GINI","INEQ","A","2017",0.357,
"USA","INCOMEINEQ","GINI","INEQ","A","2014",0.394,
"USA","INCOMEINEQ","GINI","INEQ","A","2015",0.39,
"USA","INCOMEINEQ","GINI","INEQ","A","2016",0.391,
"USA","INCOMEINEQ","GINI","INEQ","A","2017",0.39,
"CHL","INCOMEINEQ","GINI","INEQ","A","2015",0.454,
"CHL","INCOMEINEQ","GINI","INEQ","A","2017",0.46,
"EST","INCOMEINEQ","GINI","INEQ","A","2014",0.346,
"EST","INCOMEINEQ","GINI","INEQ","A","2015",0.33,
"EST","INCOMEINEQ","GINI","INEQ","A","2016",0.314,
"EST","INCOMEINEQ","GINI","INEQ","A","2017",0.309,
"ISR","INCOMEINEQ","GINI","INEQ","A","2014",0.365,
"ISR","INCOMEINEQ","GINI","INEQ","A","2015",0.36,
"ISR","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"ISR","INCOMEINEQ","GINI","INEQ","A","2017",0.344,
"ISR","INCOMEINEQ","GINI","INEQ","A","2018",0.348,
"SVN","INCOMEINEQ","GINI","INEQ","A","2014",0.251,
"SVN","INCOMEINEQ","GINI","INEQ","A","2015",0.25,
"SVN","INCOMEINEQ","GINI","INEQ","A","2016",0.244,
"SVN","INCOMEINEQ","GINI","INEQ","A","2017",0.243,
"RUS","INCOMEINEQ","GINI","INEQ","A","2016",0.331,
"LVA","INCOMEINEQ","GINI","INEQ","A","2014",0.349,
"LVA","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2016",0.346,
"LVA","INCOMEINEQ","GINI","INEQ","A","2017",0.355,
"LTU","INCOMEINEQ","GINI","INEQ","A","2014",0.38,
"LTU","INCOMEINEQ","GINI","INEQ","A","2015",0.372,
"LTU","INCOMEINEQ","GINI","INEQ","A","2016",0.378,
"LTU","INCOMEINEQ","GINI","INEQ","A","2017",0.374,
"CRI","INCOMEINEQ","GINI","INEQ","A","2014",0.485,
"CRI","INCOMEINEQ","GINI","INEQ","A","2015",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2016",0.484,
"CRI","INCOMEINEQ","GINI","INEQ","A","2017",0.48,
"CRI","INCOMEINEQ","GINI","INEQ","A","2018",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2019",0.478,
"ZAF","INCOMEINEQ","GINI","INEQ","A","2015",0.62,"P"
"BGR","INCOMEINEQ","GINI","INEQ","A","2014",0.369,
"BGR","INCOMEINEQ","GINI","INEQ","A","2015",0.377,
"BGR","INCOMEINEQ","GINI","INEQ","A","2016",0.402,
"BGR","INCOMEINEQ","GINI","INEQ","A","2017",0.395,
"ROU","INCOMEINEQ","GINI","INEQ","A","2014",0.371,
"ROU","INCOMEINEQ","GINI","INEQ","A","2015",0.346,
"ROU","INCOMEINEQ","GINI","INEQ","A","2016",0.332,
"ROU","INCOMEINEQ","GINI","INEQ","A","2017",0.351,
